Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
4/1/2019,112-0000000-0000001,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0.00,$1.93,$0.00,$1.93,$36.93,Your Name,
4/1/2019,112-0000000-0000002,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0.00,$0.00,$0.00,$0.00,$16.99,Your Name,
4/4/2019,112-0000000-0000003,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0.00,$8.14,$0.00,$8.14,$156.12,Your Name,
4/7/2019,112-0000000-0000004,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0.00,$1.65,",$0.00",$1.65,$40.63,Your Name,
5/7/2019,112-0000000-0000005,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0.00,$0.84,$0.00,$0.84,$16.16,Your Name,
6/7/2019,112-0000000-0000006,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
7/7/2019,112-0000000-0000007,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
8/7/2019,112-0000000-0000008,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
9/7/2019,112-0000000-0000009,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
10/7/2019,112-0000000-0000010,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
11/7/2019,112-0000000-0000011,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
12/7/2019,112-0000000-0000012,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$16.99,$0000,$0.00,$0.00,$0.00,$16.99,Your Name,
13/7/2019,112-0000000-0000013,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/4/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$147.98,$0000,$8.14,$0.00,$8.14,$156.12,Your Name,
14/7/2019,112-0000000-0000014,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,UPS(0002),$38.98,$0000,$1.65,",$0.00",$1.65,$40.63,Your Name,
15/7/2019,112-0000000-0000015,Visa - 5555,Amazon.com,NaN,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,China Post(0003),$15.32,$0000,$0.84,$0.00,$0.84,$16.16,Your Name,
16/7/2019,112-0000000-0000016,Visa - 0001,Amazon.com,NaN,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,1-1,Shipped,USPS(0001),$35.00,$0000,$1.93,$0.00,$1.93,$36.93,Your Name,
